BatchIndex,Delta,Damkohler,Sigma,CUM_Steam,Woodloading
252,-5.062025331,0.073173342,0.892878129,21.4,103.562744
253,-6.413434739,0.054189267,0.991577728,26.6,75.4193954
254,-3.253052323,0.059303139,0.910894684,26.2,103
255,-5.497180742,0.055067285,0.957955847,26.3,108.53067
256,-0.338745917,0.54456763,0.828585322,21.8,112.016457
257,-4.105789853,0.072775253,0.89849085,22.5,114.366493
258,-5.055333983,0.059488815,0.922745148,23.6,115.329605
259,-12.23093323,0.04394221,1.117912932,27.1,113.770866
260,-5.150689244,0.064684798,0.929658441,23.1,110.359337
261,-3.164116119,0.075741424,0.904408608,25.1,104.672325
262,-0.342272791,0.548000164,0.759023868,20.9,106.84021
263,-5.448901974,0.063062261,0.982943074,25.9,120.806915
264,-2.34603956,0.081872202,0.786263497,23,119.514946
265,-3.443774243,0.075970706,0.847871052,23,121.51371
266,-2.790708968,0.068937418,0.94035131,26.6,95.08696
267,-5.474023699,0.061963115,0.998380308,27.3,99.41044
268,-0.373306053,0.563164251,0.819525346,22.9,103.62664
269,-7.49846677,0.049192815,1.03221076,28.7,105.061111
270,-3.955849652,0.073007005,0.951137537,25,107.6751
271,-4.848629944,0.064535848,1.046829936,27.1,105.792809
272,-5.498974582,0.062503877,0.975077088,26.3,102.217209
273,-2.630427417,0.084389021,0.884854769,24.2,100.294739
274,-2.675685317,0.072495487,1.042192143,29,98.8101044
275,-3.187093944,0.070338366,0.798979602,22.9,100
276,-0.279474502,0.520439855,0.757050047,20.6,103.278221
277,-3.642197259,0.07381162,0.91250527,26.9,98.75644
278,-3.203417356,0.071801491,0.887978298,25,107.645721
279,-8.05193412,0.05353419,0.965531325,26.5,103.835175
280,-0.607594988,0.092307096,0.917273436,24.9,102.445328
281,-1.273561705,0.086639316,1.296376616,28.4,100.147079
282,0.599808604,0.494029557,0.947128849,24.2,104.837364
283,-2.334983607,0.096101852,0.815842051,23.3,100.214951
284,-2.837801221,0.073919958,0.801576343,23.3,99.0483246
285,-6.766788233,0.052410487,1.03307263,28.3,100.715607
286,-2.854078837,0.076999269,0.89733711,25.5,101.499573
287,-6.900861201,0.051266126,1.020612853,29.7,100.206696
288,-9.03069711,0.041566939,1.195863752,28.4,99.26269
289,-3.298031391,0.075571524,0.890339816,26.3,115.46537
290,-3.523346509,0.077592249,0.903860871,24,112.340614
291,-2.849254927,0.101378437,0.901760716,23,111.921692
292,-2.795721072,0.088005141,0.830052538,23.9,111.806831
